날짜,전체 산업,농업 임업 및 어업(01~03),광업(05~08),제조업(10~34),전기 가스 증기 및 공기조절 공급업(35),수도 하수 및 폐기물 처리 원료 재생업(36~39),건설업(41~42),도매 및 소매업(45~47),운수 및 창고업(49~52),숙박 및 음식점업(55~56),정보통신업(58~63),금융 및 보험업(64~66),부동산업(68),전문 과학 및 기술 서비스업(70~73),사업시설 관리 사업 지원 및 임대 서비스업(74~76),공공행정 국방 및 사회보장 행정(84),교육 서비스업(85),보건업 및 사회복지 서비스업(86~87),예술 스포츠 및 여가관련 서비스업(90~91),협회 및 단체 수리 및 기타 개인 서비스업(94~96)
2011-04-01,18212159.25,31135.25,15439.25,3649038.75,51383.5,88181.75,1103269.75,2712480.5,1002028.0,1853503.75,480610.25,726345.25,416059.0,795002.25,861038.0,636782.0,1447761.5,1185124.5,335651.75,821324.25
2011-05-01,18251836.666666668,31102.0,15443.0,3656722.0,51286.0,88307.66666666667,1098431.0,2720205.6666666665,1003218.3333333334,1859679.0,482009.6666666667,726170.3333333334,415652.0,797185.0,865078.3333333334,636903.0,1450861.3333333333,1193635.3333333333,336556.0,823391.0
2011-06-01,18291514.083333332,31068.75,15446.75,3664405.25,51188.5,88433.58333333333,1093592.25,2727930.8333333335,1004408.6666666666,1865854.25,483409.0833333333,725995.4166666666,415245.0,799367.75,869118.6666666666,637024.0,1453961.1666666667,1202146.1666666667,337460.25,825457.75
2011-07-01,18331191.5,31035.5,15450.5,3672088.5,51091.0,88559.5,1088753.5,2735656.0,1005599.0,1872029.5,484808.5,725820.5,414838.0,801550.5,873159.0,637145.0,1457061.0,1210657.0,338364.5,827524.5
2011-08-01,18370868.916666668,31002.25,15454.25,3679771.75,50993.5,88685.41666666667,1083914.75,2743381.1666666665,1006789.3333333334,1878204.75,486207.9166666667,725645.5833333334,414431.0,803733.25,877199.3333333334,637266.0,1460160.8333333333,1219167.8333333333,339268.75,829591.25
2011-09-01,18410546.333333332,30969.0,15458.0,3687455.0,50896.0,88811.33333333333,1079076.0,2751106.3333333335,1007979.6666666666,1884380.0,487607.3333333333,725470.6666666666,414024.0,805916.0,881239.6666666666,637387.0,1463260.6666666667,1227678.6666666667,340173.0,831658.0
2011-10-01,18450223.75,30935.75,15461.75,3695138.25,50798.5,88937.25,1074237.25,2758831.5,1009170.0,1890555.25,489006.75,725295.75,413617.0,808098.75,885280.0,637508.0,1466360.5,1236189.5,341077.25,833724.75
2011-11-01,18489901.166666668,30902.5,15465.5,3702821.5,50701.0,89063.16666666667,1069398.5,2766556.6666666665,1010360.3333333334,1896730.5,490406.1666666667,725120.8333333334,413210.0,810281.5,889320.3333333334,637629.0,1469460.3333333333,1244700.3333333333,341981.5,835791.5
2011-12-01,18529578.583333332,30869.25,15469.25,3710504.75,50603.5,89189.08333333333,1064559.75,2774281.8333333335,1011550.6666666666,1902905.75,491805.5833333333,724945.9166666666,412803.0,812464.25,893360.6666666666,637750.0,1472560.1666666667,1253211.1666666667,342885.75,837858.25
2012-01-01,18569256.0,30836.0,15473.0,3718188.0,50506.0,89315.0,1059721.0,2782007.0,1012741.0,1909081.0,493205.0,724771.0,412396.0,814647.0,897401.0,637871.0,1475660.0,1261722.0,343790.0,839925.0
2012-02-01,18619600.25,31116.5,15468.166666666666,3727145.5,50763.416666666664,89797.33333333333,1058544.5,2790651.4166666665,1013005.5,1915547.0,494586.6666666667,723310.5833333334,413121.5,818863.1666666666,904583.0,638469.5,1477566.5833333333,1270562.25,345068.25,841429.4166666666
2012-03-01,18669944.5,31397.0,15463.333333333334,3736103.0,51020.833333333336,90279.66666666667,1057368.0,2799295.8333333335,1013270.0,1922013.0,495968.3333333333,721850.1666666666,413847.0,823079.3333333334,911765.0,639068.0,1479473.1666666667,1279402.5,346346.5,842933.8333333334
