,전체,중졸이하,고졸,전문대졸,대졸,대학원졸
2018-04-01,19784.75,13104.5,15618.75,18216.25,24212.0,37626.0
2018-05-01,19872.333333333332,13167.333333333334,15702.0,18302.0,24296.666666666668,37702.333333333336
2018-06-01,19959.916666666668,13230.166666666666,15785.25,18387.75,24381.333333333332,37778.666666666664
2018-07-01,20047.5,13293.0,15868.5,18473.5,24466.0,37855.0
2018-08-01,20135.083333333332,13355.833333333334,15951.75,18559.25,24550.666666666668,37931.333333333336
2018-09-01,20222.666666666668,13418.666666666666,16035.0,18645.0,24635.333333333332,38007.666666666664
2018-10-01,20310.25,13481.5,16118.25,18730.75,24720.0,38084.0
2018-11-01,20397.833333333332,13544.333333333334,16201.5,18816.5,24804.666666666668,38160.333333333336
2018-12-01,20485.416666666668,13607.166666666666,16284.75,18902.25,24889.333333333332,38236.666666666664
2019-01-01,20573.0,13670.0,16368.0,18988.0,24974.0,38313.0
2019-02-01,20468.25,13651.083333333334,16314.0,18864.916666666668,24801.166666666668,38142.583333333336
2019-03-01,20363.5,13632.166666666666,16260.0,18741.833333333332,24628.333333333332,37972.166666666664
2019-04-01,20258.75,13613.25,16206.0,18618.75,24455.5,37801.75
2019-05-01,20154.0,13594.333333333334,16152.0,18495.666666666668,24282.666666666668,37631.333333333336
2019-06-01,20049.25,13575.416666666666,16098.0,18372.583333333332,24109.833333333332,37460.916666666664
2019-07-01,19944.5,13556.5,16044.0,18249.5,23937.0,37290.5
2019-08-01,19839.75,13537.583333333334,15990.0,18126.416666666668,23764.166666666668,37120.083333333336
2019-09-01,19735.0,13518.666666666666,15936.0,18003.333333333332,23591.333333333332,36949.666666666664
2019-10-01,19630.25,13499.75,15882.0,17880.25,23418.5,36779.25
2019-11-01,19525.5,13480.833333333334,15828.0,17757.166666666668,23245.666666666668,36608.833333333336
2019-12-01,19420.75,13461.916666666666,15774.0,17634.083333333332,23072.833333333332,36438.416666666664
2020-01-01,19316.0,13443.0,15720.0,17511.0,22900.0,36268.0
2020-02-01,19356.833333333332,13459.166666666666,15744.166666666666,17552.5,22932.75,36349.0
2020-03-01,19397.666666666668,13475.333333333334,15768.333333333334,17594.0,22965.5,36430.0
2020-04-01,19438.5,13491.5,15792.5,17635.5,22998.25,36511.0
2020-05-01,19479.333333333332,13507.666666666666,15816.666666666666,17677.0,23031.0,36592.0
2020-06-01,19520.166666666668,13523.833333333334,15840.833333333334,17718.5,23063.75,36673.0
2020-07-01,19561.0,13540.0,15865.0,17760.0,23096.5,36754.0
