,전체 산업,"농업, 임업 및 어업(01~03)",광업(05~08),제조업(10~34),"전기, 가스, 증기 및 공기조절 공급업(35)","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",건설업(41~42),도매 및 소매업(45~47),운수 및 창고업(49~52),숙박 및 음식점업(55~56),정보통신업(58~63),금융 및 보험업(64~66),부동산업(68),"전문, 과학 및 기술 서비스업(70~73)","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",교육 서비스업(85),"예술, 스포츠 및 여가관련 서비스업(90~91)"
2014-12-01,1746464280.0472414,3350707.906704825,509913.00690079556,697908907.7729747,43593572.83756995,4391613.089525259,193225173.79754218,74217051.02715963,112028444.20410818,3894828.977005986,45393711.02787654,70787246.9364036,4995580.823435413,48027970.609929144,27429297.322396293,19573772.129256185,14834676.740894303
2015-01-01,1745817944.88146,3339447.2,519028.00001,695026206.0177001,41993734.383,4262319.52006,196275020.634,74051898.23426,111350797.44768,3942822.2736,45359665.64389,71055147.54516001,5199327.774732,48323159.4414,27717513.97002,19830038.367310002,14838101.92902
2015-02-01,1744729702.5269384,3295126.262247957,524533.7182033868,692342701.6188494,40593682.73178048,4180273.7494455525,199209098.40518218,73870182.07303716,110897891.34392387,3979691.2305456735,45299054.315634325,71322117.88671678,5405709.129510753,48540927.47212379,27887778.068842713,20083446.823512904,14875170.79317288
2015-03-01,1743433421.836193,3229574.994204891,526553.359269443,690107087.9969689,39498323.66311429,4143524.11425909,201730688.2664363,73699299.6087727,110660703.33151835,4003380.726287169,45227060.18171521,71561395.92767687,5592322.711294037,48675875.98136558,27947399.726501144,20306257.691707853,14936211.480464596
2015-04-01,1741756560.9358234,3133629.4788592006,525855.2673612089,687857672.7889036,38460115.587632515,4138409.1826772504,204352924.80814683,73513246.87812424,110550989.16187802,4019284.9928995203,45136033.18184647,71821826.59630464,5796866.897779778,48764278.91560758,27922622.26913697,20543532.915782668,15030884.875249922
2015-05-01,1739996087.3908687,3022226.475137288,522575.9841022347,685923855.3372662,37617318.14491207,4163325.51832948,206694038.21216288,73346837.64956082,110560761.87486318,4024661.7360797417,45044312.184459426,72066966.2558319,5990482.010690802,48796071.09282866,27821132.199056204,20761085.84020026,15146228.61641477
2015-06-01,1738145853.83667,2893099.601959788,516851.53933643305,684195069.9447116,36900193.825676724,4213818.599316314,208881349.29666513,73200195.32420859,110651126.62005083,4020205.3977779094,44954002.032694295,72310590.46960118,6183655.222150516,48781146.78738886,27650396.702600542,20970584.144861937,15286318.557227314
2015-07-01,1736431690.1658077,2759519.3610782353,509390.73000066355,682800421.4270444,36342037.37361173,4280776.80404735,210746217.79326415,73093518.20239629,110778398.72404252,4006525.103349018,44878797.15545087,72534524.27778007,6361606.784065828,48727911.071149975,27435055.31091146,21155797.270801622,15438657.492014546
2015-08-01,1734850536.3385627,2617740.888935954,500050.8175337193,681665288.6825173,35892087.34548457,4362548.40189504,212384214.8596461,73030911.82570015,110911516.62914896,3983044.8255692017,44821903.47054562,72751129.52028789,6533779.6318270955,48640589.69224139,27174985.12222343,21326236.91135543,15609787.620286118
2015-09-01,1733575689.1113358,2477400.541626239,489414.23019717046,680859832.8303818,35557254.67484154,4450891.8391688345,213699215.17888325,73028114.10359685,111006069.55142978,3950408.8948356505,44794523.40971413,72950090.06431514,6691589.88996175,48528329.73528664,26891215.118864514,21472503.560304128,15791182.813638804
